date,coin_symbol,coin_name,coin_rank,market_cap,total_volume,rolling_vol_30d,log_return
2023-03-01,doge,Dogecoin,9,11172473927.906588,439789857.1602616,0.0354618346595188,-0.0063538562053935
2023-03-02,doge,Dogecoin,9,11363080012.99438,317649870.36564094,0.0354058956028283,0.0144175263559738
2023-03-03,doge,Dogecoin,9,11147375822.524082,283250051.99350333,0.0310604966929864,-0.0192157893742805
2023-03-04,doge,Dogecoin,9,10657992315.988169,672759002.2335626,0.0317415261250039,-0.0448134411212493
2023-03-05,doge,Dogecoin,9,10348419227.291624,322885409.05103093,0.0316847249316595,-0.0288381873158147
2023-03-06,doge,Dogecoin,9,10368669833.30771,254948707.0036389,0.0313675322936869,0.0016142405763797
2023-03-07,doge,Dogecoin,9,10386575436.273758,327375362.4879498,0.03073834856385,0.000564447869646
2023-03-08,doge,Dogecoin,9,10242010006.694136,373091394.3040936,0.0302571520034172,-0.0107810445807805
2023-03-09,doge,Dogecoin,9,9902129715.66884,381442501.72379655,0.0305990541546797,-0.0396579130301617
2023-03-10,doge,Dogecoin,9,9150289479.609257,643797732.5526513,0.0319311589128921,-0.0750690811985177
2023-03-11,doge,Dogecoin,9,9157983427.34947,578747651.2784501,0.031861204732958,-0.0008164799367422
2023-03-12,doge,Dogecoin,9,9177744508.905874,528901128.5072641,0.0268083190371612,0.0055090526749457
2023-03-13,doge,Dogecoin,9,9775566937.732042,451877720.5216249,0.0299353494511516,0.0660826884996854
2023-03-14,doge,Dogecoin,9,10135594021.02691,651342218.345045,0.0303631317410978,0.0289827721438409
2023-03-15,doge,Dogecoin,9,10390264479.43018,779326464.6521941,0.0308510736675956,0.0259068265344004
2023-03-16,doge,Dogecoin,9,9700933207.997278,661636752.5788625,0.0329616702759276,-0.0671654892345254
2023-03-17,doge,Dogecoin,9,10181289392.925114,427937130.105459,0.0339856845928819,0.0444521090579455
2023-03-18,doge,Dogecoin,9,10626304811.75104,648610110.9940774,0.0329252789047379,0.0453360656922061
2023-03-19,doge,Dogecoin,9,10173655193.819038,671540817.3552911,0.0328844477072329,-0.044079058239427
2023-03-20,doge,Dogecoin,9,10484931791.808855,471382290.36307806,0.0327459724432045,0.0248923557639448
2023-03-21,doge,Dogecoin,9,9976458212.734097,550862620.4163427,0.0332637748287011,-0.0427105136277088
2023-03-22,doge,Dogecoin,9,10716612131.028692,689179379.1920052,0.0359253258312007,0.0696669126077575
2023-03-23,doge,Dogecoin,9,10333565114.411991,935108133.4023604,0.0362469663774532,-0.0368464743072647
2023-03-24,doge,Dogecoin,9,10800257488.753475,694493414.6894239,0.0370394003993822,0.0449220335329125
2023-03-25,doge,Dogecoin,9,10434826808.562164,541178717.6171658,0.0375000415112372,-0.0354677890943295
2023-03-26,doge,Dogecoin,9,10355761817.9987,437394532.9185312,0.0374710097023746,-0.0076499469338502
2023-03-27,doge,Dogecoin,9,10370382624.142426,373620184.3842553,0.0368353856295907,-0.0007833466974607
2023-03-28,doge,Dogecoin,9,10150577357.40859,558909642.1533191,0.0369482315807687,-0.0186265837754597
2023-03-29,doge,Dogecoin,9,10280589142.073708,354545854.5077717,0.0368628558072923,0.0122883034418284
2023-03-30,doge,Dogecoin,9,10512259681.579857,532403459.78755367,0.0371430258375647,0.0226316603452878
2023-03-31,doge,Dogecoin,9,10332262482.180893,461942047.46928346,0.0372489697514673,-0.018164973642762
2023-04-01,doge,Dogecoin,9,10745789397.55404,472513620.6376957,0.0378094181668027,0.0363568847649258
2023-04-02,doge,Dogecoin,9,11367807248.46466,959436194.238667,0.0392167933093468,0.0582712114407026
2023-04-03,doge,Dogecoin,9,11000084349.531836,1141871237.6840668,0.038757667892482,-0.0314677858287364
2023-04-04,doge,Dogecoin,9,13367550790.14175,4502654469.60437,0.0517500724174904,0.1923452228260576
2023-04-05,doge,Dogecoin,9,13217875020.920906,3935118206.471373,0.0518472202852365,-0.0101380864715618
2023-04-06,doge,Dogecoin,9,12983339803.466272,1880641091.83096,0.0521322656021231,-0.0225700871500729
2023-04-07,doge,Dogecoin,9,11885393610.291113,1719378593.457517,0.0546863870013347,-0.0845521345466497
2023-04-08,doge,Dogecoin,9,11468256137.413303,1177183910.3501878,0.0545717778170896,-0.0353668418036186
2023-04-09,doge,Dogecoin,9,11325381364.265703,798153909.0497856,0.0525780254754987,-0.013108812058741
2023-04-10,doge,Dogecoin,9,11568385352.757624,741649451.0364345,0.0526374904988218,0.0230809368774882
2023-04-11,doge,Dogecoin,9,11810686440.248243,751797849.7305008,0.0526662472974038,0.0176163112154972
2023-04-12,doge,Dogecoin,9,11682111248.341976,740780745.6448992,0.0515729229489679,-0.0070566348130127
2023-04-13,doge,Dogecoin,9,11616879872.41495,959521129.5333788,0.0514451053423698,-0.0087081742971699
2023-04-14,doge,Dogecoin,9,12176504083.353935,1063667196.1117316,0.0519063835009801,0.0475577464822722
2023-04-15,doge,Dogecoin,9,12328502858.227808,1256516774.6270795,0.0500859422272123,0.0130092893488571
2023-04-16,doge,Dogecoin,9,12375544024.570412,732038330.7336859,0.0496100463725835,0.003210404093314
2023-04-17,doge,Dogecoin,9,12552243052.256426,682111290.7748712,0.0490982290687317,0.0151979028000579
2023-04-18,doge,Dogecoin,9,12712080688.187237,1561878889.5025113,0.0482121474475059,0.0134403424761346
2023-04-19,doge,Dogecoin,9,13069406649.56818,1070666858.1378356,0.0482207221311533,0.0255643713949553
2023-04-20,doge,Dogecoin,9,12194023294.36117,1462478677.071317,0.0494172525648185,-0.0695621970186368
2023-04-21,doge,Dogecoin,9,11662953866.09048,2226040731.131517,0.0487242569090238,-0.042889762492102
2023-04-22,doge,Dogecoin,9,10910845664.57158,961422932.9897324,0.049896158260327,-0.0676133065788699
2023-04-23,doge,Dogecoin,9,11209722551.75992,423816917.97767055,0.049446702278411,0.025874528462499
2023-04-24,doge,Dogecoin,9,10961919774.92788,396187240.0758432,0.0491307821389987,-0.0199198421407968
2023-04-25,doge,Dogecoin,9,10970104627.866676,427340746.6781397,0.0491027291803941,-0.001083130647328
2023-04-26,doge,Dogecoin,9,11106056951.385538,368127530.3825837,0.0491487244535388,0.0138706170555313
2023-04-27,doge,Dogecoin,9,10928733830.70571,844275416.1651466,0.0491252896217198,-0.0169686116158769
2023-04-28,doge,Dogecoin,9,11147324579.517052,509447569.60351634,0.0492043843118635,0.0204296241907089
2023-04-29,doge,Dogecoin,9,11190441063.5442,300126422.672377,0.0490593543207639,0.0021672381720825
2023-04-30,doge,Dogecoin,9,11348765554.514154,321564006.3603575,0.0489564258611747,0.0140915906759242
2023-05-01,doge,Dogecoin,9,11129185209.818483,314501201.3683326,0.0487158255667046,-0.0200943090504739
2023-05-02,doge,Dogecoin,9,10971696419.958796,386936998.64097154,0.0475554871800629,-0.0126473035082335
2023-05-03,doge,Dogecoin,9,10974896784.141998,272609633.912204,0.0472115106378459,-0.0015277130941004
2023-05-04,doge,Dogecoin,9,11096706553.991394,365799415.4255012,0.0302816664999201,0.0110634063602299
2023-05-05,doge,Dogecoin,9,10923617106.702251,303915824.7944904,0.0303238238986293,-0.0157532626135359
2023-05-06,doge,Dogecoin,9,11175650478.682783,442410045.02200127,0.0306619010999202,0.0240630834108297
2023-05-07,doge,Dogecoin,9,10694423821.10846,459186549.8654181,0.0277844320641906,-0.043930279664043
2023-05-08,doge,Dogecoin,9,10708665884.819214,272854850.03777826,0.0271358854982751,0.0015558432290814
2023-05-09,doge,Dogecoin,9,10100239050.862452,686990731.0244422,0.0290505199832677,-0.0598284513167244
2023-05-10,doge,Dogecoin,9,10193007887.175304,379145305.0633969,0.028702944849364,0.0084213330488069
2023-05-11,doge,Dogecoin,9,10217049731.062817,478420990.4132176,0.0284401823725538,0.0030083658577488
2023-05-12,doge,Dogecoin,9,10049902538.999828,453324274.558596,0.0285219055511732,-0.0167975158564623
2023-05-13,doge,Dogecoin,9,10126302762.910458,509123346.366193,0.0286089240991624,0.0077145302383017
2023-05-14,doge,Dogecoin,9,10042154796.35108,204374533.43192965,0.0268745527204075,-0.0114918325341069
2023-05-15,doge,Dogecoin,9,10050043128.683872,178745622.98813507,0.0266810756051487,0.0027357777135805
2023-05-16,doge,Dogecoin,9,10063493874.894,301109264.8854297,0.026657512009156,0.0012237754100365
2023-05-17,doge,Dogecoin,9,10142298719.399698,245638788.16508824,0.0264805789857547,0.007890230962579
2023-05-18,doge,Dogecoin,9,10456937018.429804,408174400.7236069,0.0270506724066459,0.0291068127634699
2023-05-19,doge,Dogecoin,9,10279648682.122915,386800488.8238552,0.0264109440149061,-0.0172442154533141
2023-05-20,doge,Dogecoin,9,10266816403.786854,215682079.94081783,0.023749361158785,-0.00032166388949
2023-05-21,doge,Dogecoin,9,10281672706.61871,142130906.25843367,0.0227227348400783,0.0016536365830353
2023-05-22,doge,Dogecoin,9,10079201334.220728,185416658.77825403,0.0196017091895838,-0.0200749280177721
2023-05-23,doge,Dogecoin,9,10195431084.940971,273561863.7523603,0.0190456065719154,0.0115075965640385
2023-05-24,doge,Dogecoin,9,10170836548.905872,202848370.6375332,0.0187837689420992,-0.0018863128947534
2023-05-25,doge,Dogecoin,9,9893576534.325062,319454419.4100321,0.0194018267660772,-0.0293491899704152
2023-05-26,doge,Dogecoin,9,9886829891.436531,278352986.8994522,0.0191444809384304,0.0011386394915984
2023-05-27,doge,Dogecoin,9,9919451349.823666,190128438.9323553,0.019018124223634,0.0023741278970756
2023-05-28,doge,Dogecoin,9,10156917549.95426,180160480.09748468,0.0191501823466862,0.0233308060912045
2023-05-29,doge,Dogecoin,9,10290759929.161585,224306301.74015293,0.0193403383264851,0.0123966764429965
2023-05-30,doge,Dogecoin,9,10183420217.237444,204726953.08489925,0.0190755920064732,-0.0056696311718447
2023-05-31,doge,Dogecoin,9,10108554336.11861,318670764.4439696,0.0188898627732138,-0.0119714772103711
2023-06-01,doge,Dogecoin,9,10013398242.512691,244428535.1331834,0.0188366980340228,-0.0087436767161621
2023-06-02,doge,Dogecoin,9,9991365454.374166,212118996.2020829,0.0188342956520257,-0.0027819472571555
2023-06-03,doge,Dogecoin,9,10139465318.76838,227264546.3769663,0.018940630673141,0.0146944592514901
2023-06-04,doge,Dogecoin,9,10154559552.503178,142212275.6748569,0.018790512195694,-0.0014869569773239
2023-06-05,doge,Dogecoin,9,10138284608.273876,172273065.817333,0.0181264813744337,0.0016335406376746
2023-06-06,doge,Dogecoin,9,9337045508.708384,658656495.5252267,0.0221830548726073,-0.0836191475947698
2023-06-07,doge,Dogecoin,9,9831090057.908537,594457278.9623634,0.0245099678974591,0.0525457326122258
2023-06-08,doge,Dogecoin,9,9413229812.22372,371611884.568522,0.0233572679698701,-0.0434769559497709
2023-06-09,doge,Dogecoin,9,9497653861.291683,220471532.55625227,0.0233616982336783,0.0086940561734509
2023-06-10,doge,Dogecoin,9,9734168612.015314,368213945.0516346,0.0238034046759331,0.0229976822640018
2023-06-11,doge,Dogecoin,9,8669344083.681238,1237091630.097823,0.0314466383945642,-0.1148807609458439
2023-06-12,doge,Dogecoin,9,8615271406.325369,313894002.4304347,0.0313541718842684,-0.0056517268537583
2023-06-13,doge,Dogecoin,9,8602651583.327427,274003215.8377635,0.0313398641918064,-0.0018740715721703
2023-06-14,doge,Dogecoin,9,8629562889.904549,264553946.1855981,0.0313455350125696,0.0033636353496651
2023-06-15,doge,Dogecoin,9,8455438988.145142,323961646.6643147,0.0314557062583012,-0.0212131677634341
2023-06-16,doge,Dogecoin,9,8613005068.456253,286233333.57778364,0.0316781221179114,0.018621100153096
2023-06-17,doge,Dogecoin,9,8694918157.294415,262738803.0040781,0.0311332336257703,0.0093227561880477
2023-06-18,doge,Dogecoin,9,8704925207.23066,196748598.6760342,0.0310891793441893,0.0011330385737733
2023-06-19,doge,Dogecoin,9,8692674732.22132,304748783.4139911,0.0311000987858584,0.0013055203763121
2023-06-20,doge,Dogecoin,9,8724515450.520025,177839768.94299993,0.0310918002969296,0.000526824443487
2023-06-21,doge,Dogecoin,9,8801706547.392189,190703449.71191964,0.0310781644917263,0.0090628760114794
2023-06-22,doge,Dogecoin,9,9204433557.19778,410366334.2964714,0.0322435727629979,0.0447607744363436
2023-06-23,doge,Dogecoin,9,9199945792.112402,467511595.9279491,0.0322429562430589,-0.0022964607554771
2023-06-24,doge,Dogecoin,9,9533173066.808508,366314006.391438,0.0327488502626634,0.0386332729993501
2023-06-25,doge,Dogecoin,9,9330804313.381582,293139189.5847274,0.0329845807270251,-0.0230199519662011
2023-06-26,doge,Dogecoin,9,9343477536.551111,196191972.6723025,0.0329757976511605,-0.0003245984097022
2023-06-27,doge,Dogecoin,9,9045451054.855576,288338311.4938256,0.0329713691886045,-0.0291859481211562
2023-06-28,doge,Dogecoin,9,9165860628.657991,221552362.705415,0.0329632423162105,0.0119124653788262
2023-06-29,doge,Dogecoin,9,8764037696.96076,293896104.3153506,0.0338733333494265,-0.046595738724561
2023-06-30,doge,Dogecoin,9,8888670976.844337,216415430.18805936,0.034031779372842,0.014226956810504
2023-07-01,doge,Dogecoin,9,9288852426.949455,485437466.5771651,0.0352308601990275,0.045877663556209
2023-07-02,doge,Dogecoin,9,9570673712.143286,578810194.2038541,0.0357145889237003,0.0295248386440332
2023-07-03,doge,Dogecoin,9,9511230961.13728,433381418.9231376,0.0355982347842729,-0.0076625882011729
2023-07-04,doge,Dogecoin,9,9566137080.98617,273529664.27649003,0.0356299854796486,0.0060093868502706
2023-07-05,doge,Dogecoin,9,9682933483.05664,466447426.2777501,0.0356877773223116,0.0096207575001794
2023-07-06,doge,Dogecoin,9,9391027480.296446,314238784.1143577,0.0326331269902008,-0.0291763138457348
2023-07-07,doge,Dogecoin,9,9142434055.59911,283315471.9656095,0.0314468613403041,-0.0274815330755182
2023-07-08,doge,Dogecoin,9,9160695498.597551,209752773.0598276,0.0304942332574214,0.0033236134652914
2023-07-09,doge,Dogecoin,9,9210743830.725332,152609375.24142298,0.0304683357556598,0.0059655846374102
2023-07-10,doge,Dogecoin,9,9156411112.795094,149659256.75003228,0.0301392713413544,-0.0067765974026747
2023-07-11,doge,Dogecoin,9,9130930488.9728,276390972.0737911,0.0213343275813572,-0.0021566500176279
2023-07-12,doge,Dogecoin,9,9153827828.517197,159446736.99571678,0.0212895977894929,0.0019609213367672
